,Label,Len
249,Parasitized,16
250,Parasitized,22
251,Parasitized,10
252,Parasitized,6
253,Parasitized,23
254,Parasitized,8
255,Parasitized,4
256,Parasitized,6
257,Parasitized,11
258,Parasitized,7
259,Parasitized,7
260,Parasitized,15
261,Parasitized,6
262,Parasitized,9
263,Parasitized,13
264,Parasitized,14
265,Parasitized,13
266,Parasitized,5
267,Parasitized,10
268,Parasitized,42
269,Parasitized,14
270,Parasitized,21
271,Parasitized,22
272,Parasitized,27
273,Parasitized,15
274,Parasitized,12
275,Parasitized,14
276,Parasitized,12
277,Parasitized,17
278,Parasitized,27
279,Parasitized,13
280,Parasitized,11
281,Parasitized,9
282,Parasitized,12
283,Parasitized,10
284,Parasitized,12
285,Parasitized,9
286,Parasitized,22
287,Parasitized,21
288,Parasitized,8
289,Parasitized,7
290,Parasitized,14
291,Parasitized,11
292,Parasitized,7
293,Parasitized,10
294,Parasitized,13
295,Parasitized,14
296,Parasitized,7
297,Parasitized,13
298,Parasitized,20
299,Parasitized,25
300,Parasitized,13
301,Parasitized,11
302,Parasitized,15
303,Parasitized,12
304,Parasitized,45
305,Parasitized,16
306,Parasitized,11
307,Parasitized,26
308,Parasitized,23
309,Parasitized,16
310,Parasitized,9
311,Parasitized,10
312,Parasitized,13
313,Parasitized,11
314,Parasitized,11
315,Parasitized,11
316,Parasitized,19
317,Parasitized,18
318,Parasitized,10
319,Parasitized,20
320,Parasitized,18
321,Parasitized,16
322,Parasitized,17
323,Parasitized,27
324,Parasitized,9
325,Parasitized,25
326,Parasitized,8
327,Parasitized,12
328,Parasitized,21
329,Parasitized,28
330,Parasitized,25
331,Parasitized,13
332,Parasitized,14
333,Parasitized,12
334,Parasitized,27
335,Parasitized,13
336,Parasitized,11
337,Parasitized,10
338,Parasitized,13
339,Parasitized,11
340,Parasitized,15
341,Parasitized,15
342,Parasitized,15
343,Parasitized,13
344,Parasitized,16
345,Parasitized,8
346,Parasitized,24
347,Parasitized,11
348,Parasitized,9
349,Parasitized,18
350,Parasitized,10
351,Parasitized,14
352,Parasitized,10
353,Parasitized,26
354,Parasitized,12
355,Parasitized,9
356,Parasitized,18
357,Parasitized,12
358,Parasitized,17
359,Parasitized,12
360,Parasitized,29
361,Parasitized,14
362,Parasitized,9
363,Parasitized,29
364,Parasitized,13
365,Parasitized,59
366,Parasitized,15
367,Parasitized,14
368,Parasitized,9
369,Parasitized,21
370,Parasitized,12
371,Parasitized,21
372,Parasitized,22
373,Parasitized,29
374,Parasitized,46
375,Parasitized,30
376,Parasitized,23
377,Parasitized,32
378,Parasitized,44
379,Parasitized,31
380,Parasitized,26
381,Parasitized,27
382,Parasitized,17
383,Parasitized,24
384,Parasitized,27
385,Parasitized,26
386,Parasitized,35
387,Parasitized,14
388,Parasitized,24
389,Parasitized,29
390,Parasitized,35
391,Parasitized,19
392,Parasitized,31
393,Parasitized,23
394,Parasitized,26
395,Parasitized,33
396,Parasitized,29
397,Parasitized,24
398,Parasitized,20
399,Parasitized,26
400,Parasitized,25
401,Parasitized,34
402,Parasitized,36
403,Parasitized,41
404,Parasitized,32
405,Parasitized,27
406,Parasitized,34
407,Parasitized,15
408,Parasitized,44
409,Parasitized,22
410,Parasitized,49
411,Parasitized,44
412,Parasitized,19
413,Parasitized,21
414,Parasitized,20
415,Parasitized,31
416,Parasitized,28
417,Parasitized,23
418,Parasitized,24
419,Parasitized,9
420,Parasitized,12
421,Parasitized,18
422,Parasitized,13
423,Parasitized,36
424,Parasitized,18
425,Parasitized,17
426,Parasitized,7
427,Parasitized,21
428,Parasitized,15
429,Parasitized,37
430,Parasitized,11
431,Parasitized,28
432,Parasitized,12
433,Parasitized,11
434,Parasitized,27
435,Parasitized,11
436,Parasitized,34
437,Parasitized,42
438,Parasitized,20
439,Parasitized,20
440,Parasitized,7
441,Parasitized,11
442,Parasitized,8
443,Parasitized,5
444,Parasitized,4
445,Parasitized,5
446,Parasitized,7
447,Parasitized,6
448,Parasitized,6
449,Parasitized,13
450,Parasitized,6
451,Parasitized,9
452,Parasitized,18
453,Parasitized,11
454,Parasitized,38
455,Parasitized,6
456,Parasitized,5
457,Parasitized,4
458,Parasitized,9
459,Parasitized,31
460,Parasitized,4
461,Parasitized,7
462,Parasitized,8
463,Parasitized,14
464,Parasitized,7
465,Parasitized,9
466,Parasitized,9
467,Parasitized,7
468,Parasitized,8
469,Parasitized,8
470,Parasitized,7
471,Parasitized,6
472,Parasitized,13
473,Parasitized,8
474,Parasitized,7
475,Parasitized,10
476,Parasitized,6
477,Parasitized,9
478,Parasitized,8
479,Parasitized,9
480,Parasitized,7
481,Parasitized,7
482,Parasitized,5
483,Parasitized,6
484,Parasitized,9
485,Parasitized,9
486,Parasitized,11
487,Parasitized,8
488,Parasitized,7
489,Parasitized,9
490,Parasitized,7
491,Parasitized,6
492,Parasitized,7
493,Parasitized,6
494,Parasitized,7
495,Parasitized,19
496,Parasitized,8
497,Parasitized,7
498,Parasitized,10
499,Parasitized,7
500,Parasitized,12
501,Parasitized,18
502,Parasitized,6
503,Parasitized,8
504,Parasitized,9
505,Parasitized,13
506,Parasitized,11
507,Parasitized,7
508,Parasitized,12
509,Parasitized,7
510,Parasitized,10
511,Parasitized,3
512,Parasitized,6
513,Parasitized,6
514,Parasitized,8
515,Parasitized,16
516,Parasitized,8
517,Parasitized,8
518,Parasitized,5
519,Parasitized,6
520,Parasitized,6
521,Parasitized,11
522,Parasitized,9
523,Parasitized,13
524,Parasitized,4
525,Parasitized,7
526,Parasitized,10
527,Parasitized,4
528,Parasitized,4
529,Parasitized,7
530,Parasitized,12
531,Parasitized,9
532,Parasitized,7
533,Parasitized,11
534,Parasitized,6
535,Parasitized,5
536,Parasitized,9
537,Parasitized,6
538,Parasitized,5
539,Parasitized,11
540,Parasitized,6
541,Parasitized,9
542,Parasitized,7
543,Parasitized,5
544,Parasitized,9
545,Parasitized,4
546,Parasitized,8
547,Parasitized,10
548,Parasitized,16
549,Parasitized,24
550,Parasitized,7
551,Parasitized,16
552,Parasitized,18
553,Parasitized,12
554,Parasitized,19
555,Parasitized,15
556,Parasitized,21
557,Parasitized,32
558,Parasitized,21
559,Parasitized,21
560,Parasitized,27
561,Parasitized,3
562,Parasitized,8
563,Parasitized,14
564,Parasitized,21
565,Parasitized,19
566,Parasitized,26
567,Parasitized,5
568,Parasitized,9
569,Parasitized,5
570,Parasitized,10
571,Parasitized,8
572,Parasitized,10
573,Parasitized,5
574,Parasitized,5
575,Parasitized,6
576,Parasitized,9
577,Parasitized,12
578,Parasitized,7
579,Parasitized,9
580,Parasitized,5
581,Parasitized,10
582,Parasitized,8
583,Parasitized,7
584,Parasitized,6
585,Parasitized,7
586,Parasitized,9
587,Parasitized,3
588,Parasitized,14
589,Parasitized,6
590,Parasitized,12
591,Parasitized,6
592,Parasitized,11
593,Parasitized,11
594,Parasitized,8
595,Parasitized,10
596,Parasitized,9
597,Parasitized,8
598,Parasitized,11
599,Parasitized,9
600,Parasitized,8
601,Parasitized,4
602,Parasitized,8
603,Parasitized,7
604,Parasitized,6
605,Parasitized,10
606,Parasitized,9
607,Parasitized,9
608,Parasitized,12
609,Parasitized,7
610,Parasitized,12
611,Parasitized,9
612,Parasitized,13
613,Parasitized,11
614,Parasitized,9
615,Parasitized,17
616,Parasitized,17
617,Parasitized,11
618,Parasitized,7
619,Parasitized,5
620,Parasitized,8
621,Parasitized,21
622,Parasitized,9
623,Parasitized,7
624,Parasitized,9
625,Parasitized,6
626,Parasitized,8
627,Parasitized,7
628,Parasitized,9
629,Parasitized,29
630,Parasitized,25
631,Parasitized,38
632,Parasitized,17
633,Parasitized,27
634,Parasitized,27
635,Parasitized,23
636,Parasitized,20
637,Parasitized,44
638,Parasitized,13
639,Parasitized,30
640,Parasitized,16
641,Parasitized,38
642,Parasitized,22
643,Parasitized,32
644,Parasitized,16
645,Parasitized,14
646,Parasitized,31
647,Parasitized,22
648,Parasitized,10
649,Parasitized,16
650,Parasitized,40
651,Parasitized,11
652,Parasitized,9
653,Parasitized,12
654,Parasitized,11
655,Parasitized,23
656,Parasitized,15
657,Parasitized,15
658,Parasitized,5
659,Parasitized,10
660,Parasitized,6
661,Parasitized,8
662,Parasitized,19
663,Parasitized,7
664,Parasitized,15
665,Parasitized,6
666,Parasitized,11
667,Parasitized,15
668,Parasitized,12
669,Parasitized,15
670,Parasitized,11
671,Parasitized,8
672,Parasitized,10
673,Parasitized,8
674,Parasitized,9
675,Parasitized,9
676,Parasitized,40
677,Parasitized,13
678,Parasitized,15
679,Parasitized,10
680,Parasitized,11
681,Parasitized,16
682,Parasitized,15
683,Parasitized,8
684,Parasitized,8
685,Parasitized,15
686,Parasitized,12
687,Parasitized,12
688,Parasitized,18
689,Parasitized,6
690,Parasitized,10
691,Parasitized,26
692,Parasitized,9
693,Parasitized,13
694,Parasitized,2
695,Parasitized,17
696,Parasitized,6
697,Parasitized,13
698,Parasitized,12
699,Parasitized,32
700,Parasitized,16
701,Parasitized,16
702,Parasitized,17
703,Parasitized,15
704,Parasitized,11
705,Parasitized,7
706,Parasitized,16
707,Parasitized,10
708,Parasitized,9
709,Parasitized,15
710,Parasitized,9
711,Parasitized,8
712,Parasitized,10
713,Parasitized,4
714,Parasitized,7
715,Parasitized,15
716,Parasitized,9
717,Parasitized,10
718,Parasitized,14
719,Parasitized,4
720,Parasitized,4
721,Parasitized,18
722,Parasitized,13
723,Parasitized,6
724,Parasitized,7
725,Parasitized,6
726,Parasitized,9
727,Parasitized,11
728,Parasitized,7
729,Parasitized,9
730,Parasitized,11
731,Parasitized,7
732,Parasitized,9
733,Parasitized,24
734,Parasitized,29
735,Parasitized,14
736,Parasitized,21
737,Parasitized,28
738,Parasitized,20
739,Parasitized,32
740,Parasitized,39
741,Parasitized,39
742,Parasitized,7
743,Parasitized,15
744,Parasitized,37
745,Parasitized,21
746,Parasitized,17
747,Parasitized,19
748,Parasitized,24
749,Parasitized,29
750,Parasitized,27
751,Parasitized,16
752,Parasitized,30
753,Parasitized,15
754,Parasitized,36
755,Parasitized,15
756,Parasitized,17
757,Parasitized,28
758,Parasitized,23
759,Parasitized,24
760,Parasitized,33
761,Parasitized,32
762,Parasitized,10
763,Parasitized,23
764,Parasitized,17
765,Parasitized,29
766,Parasitized,11
767,Parasitized,26
768,Parasitized,15
769,Parasitized,12
770,Parasitized,41
771,Parasitized,8
772,Parasitized,27
773,Parasitized,23
774,Parasitized,33
775,Parasitized,36
776,Parasitized,11
777,Parasitized,20
778,Parasitized,36
779,Parasitized,39
780,Parasitized,14
781,Parasitized,23
782,Parasitized,26
783,Parasitized,14
784,Parasitized,26
785,Parasitized,29
786,Parasitized,37
787,Parasitized,16
788,Parasitized,24
789,Parasitized,6
790,Parasitized,22
791,Parasitized,34
792,Parasitized,33
793,Parasitized,11
794,Parasitized,17
795,Parasitized,29
796,Parasitized,32
797,Parasitized,18
798,Parasitized,20
799,Parasitized,28
800,Parasitized,41
801,Parasitized,27
802,Parasitized,23
803,Parasitized,23
804,Parasitized,14
805,Parasitized,28
806,Parasitized,7
807,Parasitized,29
808,Parasitized,30
809,Parasitized,23
810,Parasitized,31
811,Parasitized,26
812,Parasitized,23
813,Parasitized,13
814,Parasitized,8
815,Parasitized,26
816,Parasitized,18
817,Parasitized,23
818,Parasitized,23
819,Parasitized,31
820,Parasitized,19
821,Parasitized,13
822,Parasitized,13
823,Parasitized,13
824,Parasitized,11
825,Parasitized,15
826,Parasitized,10
827,Parasitized,17
828,Parasitized,15
829,Parasitized,8
830,Parasitized,31
831,Parasitized,21
832,Parasitized,15
833,Parasitized,22
834,Parasitized,15
835,Parasitized,14
836,Parasitized,7
837,Parasitized,10
838,Parasitized,11
839,Parasitized,15
840,Parasitized,11
841,Parasitized,17
842,Parasitized,15
843,Parasitized,20
844,Parasitized,25
845,Parasitized,27
846,Parasitized,17
847,Parasitized,15
848,Parasitized,20
849,Parasitized,20
850,Parasitized,19
851,Parasitized,21
852,Parasitized,6
853,Parasitized,10
854,Parasitized,12
855,Parasitized,10
856,Parasitized,15
857,Parasitized,13
858,Parasitized,12
859,Parasitized,11
860,Parasitized,12
861,Parasitized,17
862,Parasitized,12
863,Parasitized,6
864,Parasitized,11
865,Parasitized,18
866,Parasitized,23
867,Parasitized,25
868,Parasitized,23
869,Parasitized,11
870,Parasitized,17
871,Parasitized,8
872,Parasitized,6
873,Parasitized,32
874,Parasitized,9
875,Parasitized,5
876,Parasitized,16
877,Parasitized,18
878,Parasitized,9
879,Parasitized,15
880,Parasitized,18
881,Parasitized,13
882,Parasitized,29
883,Parasitized,37
884,Parasitized,10
885,Parasitized,13
886,Parasitized,20
887,Parasitized,14
888,Parasitized,17
889,Parasitized,19
890,Parasitized,8
891,Parasitized,18
892,Parasitized,9
893,Parasitized,8
894,Parasitized,13
895,Parasitized,13
896,Parasitized,16
897,Parasitized,4
898,Parasitized,37
899,Parasitized,17
900,Parasitized,10
901,Parasitized,17
902,Parasitized,19
903,Parasitized,10
904,Parasitized,11
905,Parasitized,11
906,Parasitized,26
907,Parasitized,12
908,Parasitized,19
909,Parasitized,15
910,Parasitized,6
911,Parasitized,5
912,Parasitized,14
913,Parasitized,16
914,Parasitized,25
915,Parasitized,17
916,Parasitized,23
917,Parasitized,4
918,Parasitized,14
919,Parasitized,6
920,Parasitized,11
921,Parasitized,13
922,Parasitized,20
923,Parasitized,7
924,Parasitized,26
925,Parasitized,12
926,Parasitized,23
927,Parasitized,9
928,Parasitized,14
929,Parasitized,20
930,Parasitized,19
931,Parasitized,12
932,Parasitized,10
933,Parasitized,13
934,Parasitized,16
935,Parasitized,11
936,Parasitized,6
937,Parasitized,12
938,Parasitized,10
939,Parasitized,9
940,Parasitized,12
941,Parasitized,12
942,Parasitized,4
943,Parasitized,8
944,Parasitized,31
945,Parasitized,16
946,Parasitized,25
947,Parasitized,22
948,Parasitized,19
949,Parasitized,14
950,Parasitized,23
951,Parasitized,13
952,Parasitized,13
953,Parasitized,15
954,Parasitized,19
955,Parasitized,21
956,Parasitized,8
957,Parasitized,28
958,Parasitized,7
959,Parasitized,18
960,Parasitized,12
961,Parasitized,21
962,Parasitized,12
963,Parasitized,4
964,Parasitized,14
965,Parasitized,29
966,Parasitized,8
967,Parasitized,10
968,Parasitized,15
969,Parasitized,7
970,Parasitized,13
971,Parasitized,12
972,Parasitized,12
973,Parasitized,13
974,Parasitized,14
975,Parasitized,17
976,Parasitized,13
977,Parasitized,13
978,Parasitized,10
979,Parasitized,5
980,Parasitized,4
981,Parasitized,6
982,Parasitized,8
983,Parasitized,11
984,Parasitized,4
985,Parasitized,12
986,Parasitized,6
987,Parasitized,7
988,Parasitized,14
989,Parasitized,13
990,Parasitized,9
991,Parasitized,7
992,Parasitized,4
993,Parasitized,4
994,Parasitized,14
995,Parasitized,7
996,Parasitized,16
997,Parasitized,13
998,Parasitized,4
999,Parasitized,16
1000,Parasitized,4
1001,Parasitized,13
1002,Parasitized,14
1003,Parasitized,6
1004,Parasitized,5
1005,Parasitized,27
1006,Parasitized,6
1007,Parasitized,6
1008,Parasitized,4
1009,Parasitized,24
1010,Parasitized,32
1011,Parasitized,2
1012,Parasitized,15
1013,Parasitized,15
1014,Parasitized,18
1015,Parasitized,18
1016,Parasitized,16
1017,Parasitized,30
1018,Parasitized,7
1019,Parasitized,15
1020,Parasitized,26
1021,Parasitized,12
1022,Parasitized,22
1023,Parasitized,6
1024,Parasitized,20
1025,Parasitized,6
1026,Parasitized,15
1027,Parasitized,13
1028,Parasitized,13
1029,Parasitized,1
1030,Parasitized,23
1031,Parasitized,4
1032,Parasitized,7
1033,Parasitized,25
1034,Parasitized,11
1035,Parasitized,19
1036,Parasitized,27
1037,Parasitized,23
1038,Parasitized,15
1039,Parasitized,17
1040,Parasitized,16
1041,Parasitized,6
1042,Parasitized,32
1043,Parasitized,8
1044,Parasitized,15
1045,Parasitized,11
1046,Parasitized,17
1047,Parasitized,24
1048,Parasitized,4
1049,Parasitized,19
1050,Parasitized,9
1051,Parasitized,14
1052,Parasitized,9
1053,Parasitized,11
1054,Parasitized,7
1055,Parasitized,36
1056,Parasitized,12
1057,Parasitized,6
1058,Parasitized,30
1059,Parasitized,26
1060,Parasitized,20
1061,Parasitized,7
1062,Parasitized,11
1063,Parasitized,36
1064,Parasitized,19
1065,Parasitized,22
1066,Parasitized,13
1067,Parasitized,24
1068,Parasitized,29
1069,Parasitized,24
1070,Parasitized,13
1071,Parasitized,10
1072,Parasitized,22
1073,Parasitized,29
1074,Parasitized,16
1075,Parasitized,18
1076,Parasitized,22
1077,Parasitized,23
1078,Parasitized,10
1079,Parasitized,35
1080,Parasitized,5
1081,Parasitized,11
1082,Parasitized,17
1083,Parasitized,25
1084,Parasitized,10
1085,Parasitized,22
1086,Parasitized,19
1087,Parasitized,21
1088,Parasitized,21
1089,Parasitized,16
1090,Parasitized,15
1091,Parasitized,9
1092,Parasitized,19
1093,Parasitized,20
1094,Parasitized,22
1095,Parasitized,4
1096,Parasitized,7
1097,Parasitized,13
1098,Parasitized,18
1099,Parasitized,9
1100,Parasitized,4
1101,Parasitized,9
1102,Parasitized,22
1103,Parasitized,7
1104,Parasitized,17
1105,Parasitized,8
1106,Parasitized,15
1107,Parasitized,10
1108,Parasitized,18
1109,Parasitized,12
1110,Parasitized,18
1111,Parasitized,13
1112,Parasitized,9
1113,Parasitized,4
1114,Parasitized,15
1115,Parasitized,10
1116,Parasitized,10
1117,Parasitized,15
1118,Parasitized,10
1119,Parasitized,17
1120,Parasitized,6
1121,Parasitized,6
1122,Parasitized,17
1123,Parasitized,9
1124,Parasitized,16
1125,Parasitized,7
1126,Parasitized,11
1127,Parasitized,9
1128,Parasitized,23
1129,Parasitized,10
1130,Parasitized,10
1131,Parasitized,9
1132,Parasitized,5
1133,Parasitized,12
1134,Parasitized,18
1135,Parasitized,15
1136,Parasitized,13
1137,Parasitized,16
1138,Parasitized,25
1139,Parasitized,5
1140,Parasitized,26
1141,Parasitized,14
1142,Parasitized,5
1143,Parasitized,12
1144,Parasitized,11
1145,Parasitized,11
1146,Parasitized,21
1147,Parasitized,11
1148,Parasitized,10
1149,Parasitized,5
1150,Parasitized,15
1151,Parasitized,8
1152,Parasitized,12
1153,Parasitized,14
1154,Parasitized,7
1155,Parasitized,11
1156,Parasitized,1
1157,Parasitized,7
1158,Parasitized,13
1159,Parasitized,12
1160,Parasitized,12
1161,Parasitized,10
1162,Parasitized,18
1163,Parasitized,4
1164,Parasitized,10
1165,Parasitized,10
1166,Parasitized,8
1167,Parasitized,9
1168,Parasitized,8
1169,Parasitized,13
1170,Parasitized,14
1171,Parasitized,15
1172,Parasitized,12
1173,Parasitized,13
1174,Parasitized,10
1175,Parasitized,11
1176,Parasitized,7
1177,Parasitized,15
1178,Parasitized,20
1179,Parasitized,13
1180,Parasitized,14
1181,Parasitized,9
1182,Parasitized,9
1183,Parasitized,8
1184,Parasitized,14
1185,Parasitized,9
1186,Parasitized,18
1187,Parasitized,10
1188,Parasitized,6
1189,Parasitized,7
1190,Parasitized,10
1191,Parasitized,9
1192,Parasitized,7
1193,Parasitized,7
1194,Parasitized,10
1195,Parasitized,11
1196,Parasitized,5
1197,Parasitized,13
1198,Parasitized,5
1199,Parasitized,9
1200,Parasitized,5
1201,Parasitized,3
1202,Parasitized,8
1203,Parasitized,8
1204,Parasitized,14
1205,Parasitized,8
1206,Parasitized,15
1207,Parasitized,8
1208,Parasitized,7
1209,Parasitized,11
1210,Parasitized,6
1211,Parasitized,6
1212,Parasitized,8
1213,Parasitized,5
1214,Parasitized,7
1215,Parasitized,12
1216,Parasitized,15
1217,Parasitized,10
1218,Parasitized,12
1219,Parasitized,15
1220,Parasitized,6
1221,Parasitized,11
1222,Parasitized,13
1223,Parasitized,12
1224,Parasitized,15
1225,Parasitized,17
1226,Parasitized,7
1227,Parasitized,8
1228,Parasitized,6
1229,Parasitized,9
1230,Parasitized,5
1231,Parasitized,7
1232,Parasitized,19
1233,Parasitized,14
1234,Parasitized,12
1235,Parasitized,17
1236,Parasitized,7
1237,Parasitized,10
1238,Parasitized,16
1239,Parasitized,10
1240,Parasitized,8
1241,Parasitized,14
1242,Parasitized,12
1243,Parasitized,14
1244,Parasitized,5
1245,Parasitized,7
1246,Parasitized,22
1247,Parasitized,18
1248,Parasitized,9
1249,Parasitized,14
1250,Parasitized,11
1251,Parasitized,18
1252,Parasitized,20
1253,Parasitized,17
1254,Parasitized,15
1255,Parasitized,11
1256,Parasitized,23
1257,Parasitized,11
1258,Parasitized,18
1259,Parasitized,15
1260,Parasitized,7
1261,Parasitized,11
1262,Parasitized,12
1263,Parasitized,10
1264,Parasitized,13
1265,Parasitized,14
1266,Parasitized,23
1267,Parasitized,18
1268,Parasitized,8
1269,Parasitized,15
1270,Parasitized,14
1271,Parasitized,11
1272,Parasitized,11
1273,Parasitized,8
1274,Parasitized,19
1275,Parasitized,9
1276,Parasitized,12
1277,Parasitized,8
1278,Parasitized,21
1279,Parasitized,14
1280,Parasitized,10
1281,Parasitized,8
1282,Parasitized,6
1283,Parasitized,8
1284,Parasitized,10
1285,Parasitized,18
1286,Parasitized,19
1287,Parasitized,18
1288,Parasitized,19
1289,Parasitized,14
1290,Parasitized,14
1291,Parasitized,10
1292,Parasitized,14
1293,Parasitized,11
1294,Parasitized,10
1295,Parasitized,6
1296,Parasitized,16
1297,Parasitized,12
1298,Parasitized,21
1299,Parasitized,15
1300,Parasitized,9
1301,Parasitized,12
1302,Parasitized,8
1303,Parasitized,7
1304,Parasitized,19
1305,Parasitized,15
1306,Parasitized,10
1307,Parasitized,15
1308,Parasitized,9
1309,Parasitized,41
1310,Parasitized,13
1311,Parasitized,15
1312,Parasitized,28
1313,Parasitized,12
1314,Parasitized,3
1315,Parasitized,13
1316,Parasitized,11
1317,Parasitized,16
1318,Parasitized,12
1319,Parasitized,16
1320,Parasitized,20
1321,Parasitized,9
1322,Parasitized,17
1323,Parasitized,11
1324,Parasitized,10
1325,Parasitized,8
1326,Parasitized,27
1327,Parasitized,12
1328,Parasitized,25
1329,Parasitized,25
1330,Parasitized,6
1331,Parasitized,18
1332,Parasitized,18
1333,Parasitized,9
1334,Parasitized,17
1335,Parasitized,12
1336,Parasitized,8
1337,Parasitized,8
1338,Parasitized,15
1339,Parasitized,11
1340,Parasitized,21
1341,Parasitized,15
1342,Parasitized,15
1343,Parasitized,12
1344,Parasitized,14
1345,Parasitized,18
1346,Parasitized,22
1347,Parasitized,18
1348,Parasitized,15
1349,Parasitized,23
1350,Parasitized,6
1351,Parasitized,5
1352,Parasitized,10
1353,Parasitized,8
1354,Parasitized,13
1355,Parasitized,15
1356,Parasitized,9
1357,Parasitized,23
1358,Parasitized,13
1359,Parasitized,11
1360,Parasitized,13
1361,Parasitized,7
